ACAO;DATA;ABERTURA;FECHAMENTO;VARIACAO;MINIMO;MAXIMO;VOLUME
VALE3;27/04/2021;108,88;110,12;1,43;108,52;110,6;2,63B
VALE3;26/04/2021;109,95;108,57;0,54;108,15;110,69;1,82B
VALE3;23/04/2021;107,15;107,99;1,66;106,46;108,1;1,37B
VALE3;22/04/2021;107,24;106,23;0,07;104,34;107,24;2,09B
VALE3;20/04/2021;107,95;106,16;-1,46;105,02;108,35;2,04B
VALE3;19/04/2021;109;107,73;-0,87;107,64;109,88;2,52B
VALE3;16/04/2021;108,64;108,67;0,43;107,5;109,11;1,88B
VALE3;15/04/2021;108,66;108,21;1,13;107,55;109,88;2,09B
VALE3;14/04/2021;103,97;107;3,9;103,77;107,78;4,06B
VALE3;13/04/2021;103,9;102,98;-0,41;102,85;104,28;520,29M
VALE3;12/04/2021;102,9;103,4;0,39;102,21;103,63;1,39B
VALE3;09/04/2021;104;103;-1,44;102,94;104,66;1,95B
VALE3;08/04/2021;104,94;104,5;-0,06;104,12;105,3;2,71B
VALE3;07/04/2021;102,37;104,56;2,46;102,15;105,32;3,40B
VALE3;06/04/2021;103,8;102,05;-1,3;102,05;104,56;2,28B
VALE3;05/04/2021;99,83;103,39;6,16;99,8;103,82;3,65B
VALE3;01/04/2021;98,5;97,39;-0,59;96,13;98,86;1,66B
AGRO3;30/04/2021;32,56;34,45;5,93;32,56;34,79;100,46M
AGRO3;29/04/2021;30,99;32,52;5,93;30,81;32,64;46,36M
AGRO3;28/04/2021;29,65;30,7;3,96;29,65;30,97;27,72M
AGRO3;27/04/2021;29,5;29,53;0,27;29,5;30,27;19,57M
AGRO3;26/04/2021;30,3;29,45;-2,81;29,36;30,77;29,08M
AGRO3;23/04/2021;30,59;30,3;-0,03;29,95;31,02;27,72M
AGRO3;22/04/2021;29,86;30,31;1,54;29,11;30,83;144,08M
AGRO3;20/04/2021;29,7;29,85;0,51;28,82;30,34;42,58M
AGRO3;19/04/2021;27,89;29,7;6,49;27,61;30,2;66,11M
AGRO3;16/04/2021;26,6;27,89;5,25;26,33;27,89;41,40M
AGRO3;15/04/2021;25,73;26,5;3,11;25,5;26,87;38,74M
AGRO3;14/04/2021;25,32;25,7;-0,66;25,3;25,92;20,43M
AGRO3;13/04/2021;25,82;25,87;1,25;25,69;26,3;5,99M
AGRO3;12/04/2021;24,95;25,55;2,4;24,95;26,2;33,75M
AGRO3;09/04/2021;24,21;24,95;3,31;24,19;25,2;22,14M
AGRO3;08/04/2021;23,98;24,15;1,86;23,8;24,4;10,55M
AGRO3;07/04/2021;24;23,71;-0,67;23,64;24,4;14,85M
AGRO3;06/04/2021;23,2;23,87;2,8;23,14;24,48;20,92M
AGRO3;05/04/2021;23,12;23,22;1,26;22,81;23,25;34,09M
AGRO3;01/04/2021;22,73;22,93;0,92;22,62;23,11;7,64M
KLBN11;30/04/2021;28,08;27,86;-1,21;27,75;28,58;350,15M
KLBN11;29/04/2021;28,13;28,2;0,28;28,04;28,79;168,07M
KLBN11;28/04/2021;29,32;28,12;-3,96;28,03;29,32;195,13M
KLBN11;27/04/2021;28,91;29,28;1,07;28,89;29,54;203,99M
KLBN11;26/04/2021;29,24;28,97;-0,31;28,75;29,29;112,73M
KLBN11;23/04/2021;29,5;29,06;-0,82;28,83;29,5;173,32M
KLBN11;22/04/2021;30,2;29,3;-2,63;29,3;30,35;141,65M
KLBN11;20/04/2021;29,7;30,09;0,84;29,7;30,39;171,75M
KLBN11;19/04/2021;29,5;29,84;1,32;29,34;30,15;146,13M
KLBN11;16/04/2021;30,05;29,45;-2;29,4;30,63;143,80M
KLBN11;15/04/2021;29,65;30,05;1,18;29,53;30,15;159,78M
KLBN11;14/04/2021;30;29,7;-0,5;29,41;30,15;175,82M
KLBN11;13/04/2021;29,98;29,85;-0,33;29,6;30;49,64M
KLBN11;12/04/2021;29,44;29,95;1,73;29,44;30,1;216,85M
KLBN11;09/04/2021;29,08;29,44;0,89;28,94;29,9;260,27M
KLBN11;08/04/2021;28,82;29,18;1,21;28,64;29,4;196,81M
KLBN11;07/04/2021;28,62;28,83;0,8;28,35;28,96;156,39M
KLBN11;06/04/2021;28,09;28,6;1,85;27,91;28,69;196,41M
KLBN11;05/04/2021;28,31;28,08;0,11;27,56;28,33;203,01M
KLBN11;01/04/2021;27,61;28,05;1,52;27,29;28,51;285,12M
EVEN3;30/04/2021;9,92;9,66;-3,21;9,66;10,04;19,00M
EVEN3;29/04/2021;10,11;9,98;-5,49;9,87;10,26;12,91M
EVEN3;28/04/2021;10,59;10,56;0,48;10,34;10,63;17,73M
EVEN3;27/04/2021;10,79;10,51;-2,32;10,5;10,79;12,18M
EVEN3;26/04/2021;10,96;10,76;-0,92;10,71;11,04;11,23M
EVEN3;23/04/2021;10,8;10,86;1,59;10,65;10,93;13,11M
EVEN3;22/04/2021;10,72;10,69;0,47;10,58;10,91;16,98M
EVEN3;20/04/2021;10,69;10,64;-0,47;10,5;10,78;9,18M
EVEN3;19/04/2021;10,94;10,69;-2,29;10,68;10,98;13,13M
EVEN3;16/04/2021;10,81;10,94;1,2;10,7;10,94;10,70M
EVEN3;15/04/2021;10,71;10,81;1,03;10,65;11,03;20,45M
EVEN3;14/04/2021;10,75;10,7;-1,83;10,63;11,05;20,67M
EVEN3;13/04/2021;10,83;10,9;1,02;10,69;10,94;4,01M
EVEN3;12/04/2021;11;10,79;-1,82;10,62;11,17;20,65M
EVEN3;09/04/2021;10,45;10,99;5,37;10,33;11,05;29,75M
EVEN3;08/04/2021;10,21;10,43;2,15;10,18;10,43;9,62M
EVEN3;07/04/2021;10,45;10,21;-2,2;10,13;10,55;7,94M
EVEN3;06/04/2021;10,32;10,44;1,36;10,26;10,57;11,12M
EVEN3;05/04/2021;10,29;10,3;0,78;10,08;10,42;12,82M
EVEN3;01/04/2021;10,31;10,22;-0,97;10,03;10,43;10,48M
LAME4;30/04/2021;21,3;20,86;-2,8;20,64;21,87;618,31M
LAME4;29/04/2021;23,04;21,46;-5,17;20,68;23,08;1,28B
LAME4;28/04/2021;21,9;22,63;3,66;21,66;22,63;209,49M
LAME4;27/04/2021;22,29;21,83;-2,33;21,7;22,31;151,34M
LAME4;26/04/2021;22,96;22,35;-1,97;22,22;22,97;158,99M
LAME4;23/04/2021;22,27;22,8;3,07;22,1;23,04;197,05M
LAME4;22/04/2021;23,6;22,12;-3,19;22,07;23,65;376,96M
LAME4;20/04/2021;23,25;22,85;-2,14;22,73;23,34;124,52M
LAME4;19/04/2021;23,66;23,35;-1,06;23,24;23,99;172,97M
LAME4;16/04/2021;23,18;23,6;1,46;22,94;23,74;229,33M
LAME4;15/04/2021;23,35;23,26;-0,21;23,16;23,77;194,74M
LAME4;14/04/2021;24,01;23,31;3;23,31;24,41;341,83M
LAME4;13/04/2021;22,1;22,63;2,77;21,96;22,64;72,12M
LAME4;12/04/2021;21,98;22,02;0,5;21,76;22,36;281,93M
LAME4;09/04/2021;22,25;21,91;-2,14;21,76;22,32;164,85M
LAME4;08/04/2021;22,21;22,39;0,9;22,15;22,79;151,15M
LAME4;07/04/2021;22,64;22,19;-2,25;22,07;22,82;147,22M
LAME4;06/04/2021;22,83;22,7;-0,61;22,4;23;147,60M
LAME4;05/04/2021;22,6;22,84;1,96;22,37;22,86;110,70M
LAME4;01/04/2021;22,37;22,4;0,18;22,21;22,82;145,61M
PSSA3;30/04/2021;47,98;49,37;2,9;47,72;49,38;80,05M
PSSA3;29/04/2021;48,32;47,98;-0,23;47,62;48,68;20,93M
PSSA3;28/04/2021;47,53;48,09;1,18;47,3;48,52;31,71M
PSSA3;27/04/2021;48,17;47,53;-1,33;47,22;48,21;33,99M
PSSA3;26/04/2021;48,46;48,17;-0,37;47,83;48,66;29,63M
PSSA3;23/04/2021;47,06;48,35;2,81;46,9;48,41;31,31M
PSSA3;22/04/2021;47,92;47,03;-1,61;47,01;48,35;35,77M
PSSA3;20/04/2021;48,12;47,8;-0,73;47,45;48,56;33,37M
PSSA3;19/04/2021;48,25;48,15;2,91;47,79;49,7;120,58M
PSSA3;16/04/2021;46,35;46,79;1,15;45,72;46,79;36,50M
PSSA3;15/04/2021;46,48;46,26;-0,32;46,18;46,67;33,74M
PSSA3;14/04/2021;46,95;46,41;0,37;46,17;46,95;55,71M
PSSA3;13/04/2021;47,17;46,24;-2,55;46,16;47,28;16,95M
PSSA3;12/04/2021;48;47,45;-0,4;47,01;48,11;40,92M
PSSA3;09/04/2021;47,39;47,64;1,04;46,85;48,3;47,90M
PSSA3;08/04/2021;48,1;47,15;-1,42;46,83;48,5;42,77M
PSSA3;07/04/2021;48,59;47,83;-1,67;47,79;48,89;39,43M
PSSA3;06/04/2021;46,79;48,64;4,13;46,79;48,99;75,23M
PSSA3;05/04/2021;45,12;46,71;4,29;45,12;46,98;35,77M
PSSA3;01/04/2021;46,63;44,79;-1,19;44,7;46,74;46,16M
MOVI3;30/04/2021;17,1;16,83;-2,09;16,7;17,3;57,74M
MOVI3;29/04/2021;17,71;17,19;-2,44;17,06;17,89;57,22M
MOVI3;28/04/2021;17,32;17,62;3,71;16,89;17,75;41,27M
MOVI3;27/04/2021;17,21;16,99;-0,88;16,85;17,39;34,10M
MOVI3;26/04/2021;17,05;17,14;0,82;16,85;17,24;25,52M
MOVI3;23/04/2021;17,04;17;0,77;16,85;17,2;31,68M
MOVI3;22/04/2021;17,3;16,87;-1,52;16,74;17,42;41,06M
MOVI3;20/04/2021;17,24;17,13;-0,64;16,96;17,41;24,26M
MOVI3;19/04/2021;17,83;17,24;-2,6;17,12;17,94;48,71M
MOVI3;16/04/2021;17,51;17,7;0,91;17,18;17,78;35,93M
MOVI3;15/04/2021;17,15;17,54;2,69;17,12;17,74;59,27M
MOVI3;14/04/2021;17,12;17,08;-0,18;16,77;17,24;45,92M
MOVI3;13/04/2021;17,38;17,11;-1,55;17,01;17,38;6,41M
MOVI3;12/04/2021;17,53;17,38;-0,74;17,21;17,56;21,52M
MOVI3;09/04/2021;17,46;17,51;0,29;17,07;17,68;38,46M
MOVI3;08/04/2021;17,22;17,46;1,28;17,19;17,47;30,95M
MOVI3;07/04/2021;17,26;17,24;0,17;17,05;17,45;19,43M
MOVI3;06/04/2021;17,19;17,21;-0,23;17,1;17,48;23,21M
MOVI3;05/04/2021;16,85;17,25;3,6;16,73;17,4;31,54M
MOVI3;01/04/2021;16,94;16,65;-0,6;16,53;16,99;25,88M
GOLL4;30/04/2021;23,76;23,45;-1,64;23,4;24,37;147,29M
GOLL4;29/04/2021;24,08;23,84;-1,24;23,41;24,95;238,19M
GOLL4;28/04/2021;24,07;24,14;1,22;23,76;24,36;124,42M
GOLL4;27/04/2021;24,32;23,85;-1,53;23,71;24,52;127,88M
GOLL4;26/04/2021;24,3;24,22;0,83;24,05;24,75;226,70M
GOLL4;23/04/2021;23,24;24,02;4,12;22,98;24,15;245,16M
GOLL4;22/04/2021;22,64;23,07;3,83;22,42;23,37;255,42M
GOLL4;20/04/2021;23,18;22,22;-3,93;22,05;23,28;220,46M
GOLL4;19/04/2021;22,77;23,13;1,63;22,59;23,53;144,00M
GOLL4;16/04/2021;22,99;22,76;-0,87;22,7;23,06;96,76M
GOLL4;15/04/2021;23,05;22,96;0,31;22,75;23,27;123,81M
GOLL4;14/04/2021;23,2;22,89;0,97;22,84;23,56;184,85M
GOLL4;13/04/2021;23,32;22,67;-2,37;22,51;23,32;53,85M
GOLL4;12/04/2021;23,38;23,22;-0,51;22,77;23,65;160,24M
GOLL4;09/04/2021;23,06;23,34;0,21;22,6;23,8;169,49M
GOLL4;08/04/2021;22,5;23,29;4,07;22,35;23,33;154,04M
GOLL4;07/04/2021;22,55;22,38;-0,67;22,23;22,96;142,71M
GOLL4;06/04/2021;22,35;22,53;-0,31;22,05;22,93;152,28M
GOLL4;05/04/2021;22,21;22,6;4,24;21,97;22,62;174,65M
GOLL4;01/04/2021;21,76;21,68;0,79;21,64;22,25;157,37M
RENT3;30/04/2021;62,26;64,26;1,47;62,26;64,51;533,54M
RENT3;29/04/2021;63,18;63,33;0,4;62,44;63,64;209,58M
RENT3;28/04/2021;61,42;63,08;3,41;60,81;63,2;290,34M
RENT3;27/04/2021;61,81;61;-1,42;60,46;62,3;173,46M
RENT3;26/04/2021;61,98;61,88;0,36;60,84;62,16;150,32M
RENT3;23/04/2021;60,83;61,66;1,36;60,77;62,33;300,34M
RENT3;22/04/2021;62,85;60,83;-1,47;60,31;62,85;230,89M
RENT3;20/04/2021;62,1;61,74;-1,06;61,21;62,81;274,19M
RENT3;19/04/2021;64,14;62,4;-2,71;61,52;64,26;301,81M
RENT3;16/04/2021;64,1;64,14;0,91;62,81;64,77;325,05M
RENT3;15/04/2021;63,58;63,56;-0,08;62,74;64,46;231,84M
RENT3;14/04/2021;63,39;63,61;1,82;62,74;64,06;245,07M
RENT3;13/04/2021;63,24;62,47;-0,75;62,04;63,24;53,27M
RENT3;12/04/2021;63,15;62,94;-0,02;62,43;63,4;160,01M
RENT3;09/04/2021;63,24;62,95;-0,96;62,47;63,64;171,23M
RENT3;08/04/2021;62,5;63,56;1,92;61,98;63,86;285,07M
RENT3;07/04/2021;61,91;62,36;0,06;61,46;62,95;189,97M
RENT3;06/04/2021;61,71;62,32;1,35;61,28;62,95;210,19M
RENT3;05/04/2021;61,04;61,49;2,48;60,34;62,15;236,63M
RENT3;01/04/2021;59,88;60;0,52;58,86;60,58;339,54M
BBDC4;30/04/2021;23,67;23,83;0,34;23,51;24,13;1,38B
BBDC4;29/04/2021;24,45;23,75;-2,98;23,75;24,69;838,69M
BBDC4;28/04/2021;23,7;24,48;4,97;23,66;24,65;1,37B
BBDC4;27/04/2021;23,51;23,32;-0,89;23,3;23,81;893,96M
BBDC4;26/04/2021;23,87;23,53;0,09;23,29;24,1;842,36M
BBDC4;23/04/2021;23,24;23,51;1,86;23,14;23,66;545,60M
BBDC4;22/04/2021;23,33;23,08;-0,69;22,99;23,48;618,09M
BBDC4;20/04/2021;23,58;23,24;-1,52;23,22;23,76;540,77M
BBDC4;19/04/2021;23,86;23,6;-0,46;23,46;23,86;740,05M
BBDC4;16/04/2021;23,33;23,71;1,16;23,32;23,9;659,80M
BBDC4;15/04/2021;23,54;23,44;0;23,13;23,77;640,50M
BBDC4;14/04/2021;23,26;23,44;1,86;23,01;23,81;970,06M
BBDC4;13/04/2021;23,17;23,01;-1,52;22,89;23,27;187,18M
BBDC4;12/04/2021;23,05;23,37;2,06;22,94;23,37;465,57M
BBDC4;09/04/2021;22,8;22,89;-0,16;22,77;23,36;738,97M
BBDC4;08/04/2021;23,26;22,93;-0,32;22,81;23,27;717,55M
BBDC4;07/04/2021;23,17;23;-1,09;22,9;23,4;765,15M
BBDC4;06/04/2021;23,67;23,26;-1,58;23,08;23,8;700,02M
BBDC4;05/04/2021;23,73;23,63;0,93;23,44;23,87;769,71M
BBDC4;01/04/2021;24,41;23,41;-3,66;23,4;24,46;1,19B
BEEF3;30/04/2021;9,85;9,68;-1,73;9,66;9,88;82,28M
BEEF3;29/04/2021;10,04;9,85;-1,3;9,84;10,06;95,00M
BEEF3;28/04/2021;10,33;9,98;-2,44;9,9;10,37;105,80M
BEEF3;27/04/2021;10,73;10,23;-4,12;10,2;10,79;106,25M
BEEF3;26/04/2021;10,81;10,67;-0,84;10,52;10,84;77,08M
BEEF3;23/04/2021;10,95;10,76;-1,28;10,71;10,98;73,89M
BEEF3;22/04/2021;11,04;10,9;0;10,81;11,04;95,01M
BEEF3;20/04/2021;10,77;10,9;1,21;10,77;11,09;121,08M
BEEF3;19/04/2021;10,83;10,77;0,47;10,69;10,95;122,05M
BEEF3;16/04/2021;11,04;10,72;-4,29;10,65;11,04;231,67M
BEEF3;15/04/2021;11,12;11,2;1,63;10,99;11,28;137,16M
BEEF3;14/04/2021;10,63;11,02;1,47;10,63;11,2;273,11M
BEEF3;13/04/2021;10,51;10,86;2,43;10,42;10,91;102,59M
BEEF3;12/04/2021;10,15;10,6;5,18;10,14;10,6;196,05M
BEEF3;09/04/2021;9,96;10,08;0,75;9,94;10,2;106,85M
BEEF3;08/04/2021;9,93;10,01;1,13;9,83;10,12;110,17M
BEEF3;07/04/2021;9,49;9,89;4,22;9,46;9,96;166,22M
BEEF3;06/04/2021;9,57;9,49;-0,59;9,43;9,6;63,66M
BEEF3;05/04/2021;9,61;9,55;0,39;9,4;9,69;77,35M
BEEF3;01/04/2021;9,53;9,51;0;9,43;9,6;63,72M
BRML3;30/04/2021;9,68;9,52;-2,36;9,44;9,81;182,62M
BRML3;29/04/2021;9,93;9,75;-1,91;9,64;10,03;148,68M
BRML3;28/04/2021;9,79;9,94;1,84;9,72;10,03;122,64M
BRML3;27/04/2021;9,99;9,76;-2,01;9,76;10,06;125,16M
BRML3;26/04/2021;9,73;9,96;3;9,63;10,2;185,31M
BRML3;23/04/2021;9,65;9,67;0,62;9,56;9,75;97,61M
BRML3;22/04/2021;9,91;9,61;-2,14;9,55;9,96;145,42M
BRML3;20/04/2021;9,83;9,82;0;9,78;9,9;75,48M
BRML3;19/04/2021;9,84;9,82;0,31;9,74;10,1;246,36M
BRML3;16/04/2021;9,74;9,79;0,1;9,67;9,87;186,56M
BRML3;15/04/2021;9,75;9,78;0,72;9,65;9,84;155,78M
BRML3;14/04/2021;9,86;9,71;0,1;9,64;9,99;150,79M
BRML3;13/04/2021;9,81;9,7;-1,12;9,68;9,82;27,97M
BRML3;12/04/2021;9,99;9,81;-1,31;9,74;10;193,69M
BRML3;09/04/2021;9,71;9,94;1,84;9,58;10,07;257,35M
BRML3;08/04/2021;9,9;9,76;-1,21;9,63;9,94;164,39M
BRML3;07/04/2021;10,09;9,88;-2,18;9,79;10,13;123,55M
BRML3;06/04/2021;10,21;10,1;-0,98;10,06;10,27;117,61M
BRML3;05/04/2021;10,07;10,2;1,59;10;10,22;91,60M
BRML3;01/04/2021;10,19;10,04;-0,79;9,94;10,21;112,61M
TIMS3;30/04/2021;12,15;12,19;-0,25;12,08;12,31;60,87M
TIMS3;29/04/2021;12,19;12,22;0,16;12,11;12,31;78,41M
TIMS3;28/04/2021;12,05;12,2;1,41;11,89;12,2;96,49M
TIMS3;27/04/2021;12,02;12,03;-0,17;11,86;12,05;75,49M
TIMS3;26/04/2021;12,35;12,05;-1,55;11,98;12,36;57,97M
TIMS3;23/04/2021;11,86;12,24;3,29;11,83;12,31;77,68M
TIMS3;22/04/2021;11,94;11,85;-0,67;11,81;12;37,94M
TIMS3;20/04/2021;11,92;11,93;-0,58;11,88;12,02;32,03M
TIMS3;19/04/2021;12,27;12;-2,2;11,93;12,27;84,71M
TIMS3;16/04/2021;12,24;12,27;-0,49;12,08;12,28;82,69M
TIMS3;15/04/2021;12,28;12,33;0,41;12,21;12,4;56,56M
TIMS3;14/04/2021;12,32;12,28;-0,97;12,19;12,4;90,21M
TIMS3;13/04/2021;12,52;12,4;-0,96;12,33;12,52;15,31M
TIMS3;12/04/2021;12,65;12,52;0,08;12,45;12,67;43,70M
TIMS3;09/04/2021;12,49;12,51;-0,71;12,49;12,67;51,14M
TIMS3;08/04/2021;12,59;12,6;0,08;12,52;12,78;88,36M
TIMS3;07/04/2021;12,23;12,59;2,86;12,16;12,67;470,29M
TIMS3;06/04/2021;12,33;12,24;-0,73;12,18;12,4;50,91M
TIMS3;05/04/2021;12,5;12,33;-1,12;12,25;12,63;68,42M
TIMS3;01/04/2021;12,79;12,47;-1,58;12,4;12,79;75,79M
SMTO3;30/04/2021;32,21;31,17;-3,2;30,69;32,45;53,53M
SMTO3;29/04/2021;32,4;32,2;-0,31;31,5;32,4;32,98M
SMTO3;28/04/2021;33,82;32,3;-3,95;32,27;33,98;29,87M
SMTO3;27/04/2021;32,98;33,63;2,41;32,75;33,7;39,04M
SMTO3;26/04/2021;33,16;32,84;0,09;32,62;33,16;34,84M
SMTO3;23/04/2021;33,47;32,81;-0,88;32,69;33,77;25,68M
SMTO3;22/04/2021;32,79;33,1;1,75;32,11;33,82;53,79M
SMTO3;20/04/2021;31,49;32,53;2,72;31,49;33,27;62,23M
SMTO3;19/04/2021;30,91;31,67;2,46;30,53;31,82;27,18M
SMTO3;16/04/2021;31,65;30,91;-2,18;30,88;31,66;34,52M
SMTO3;15/04/2021;31,32;31,6;1,87;30,92;31,66;33,99M
SMTO3;14/04/2021;30,35;31,02;0,68;30,12;31,2;29,68M
SMTO3;13/04/2021;30,94;30,81;-0,06;30,54;30,95;3,32M
SMTO3;12/04/2021;30,55;30,83;1,41;30,25;30,87;24,35M
SMTO3;09/04/2021;30,85;30,4;-1,46;30,05;31,17;41,42M
SMTO3;08/04/2021;30,65;30,85;1,21;30,45;31,12;25,95M
SMTO3;07/04/2021;30,39;30,48;-0,1;30,08;30,85;30,75M
SMTO3;06/04/2021;30,06;30,51;2,45;29,97;31,4;30,96M
SMTO3;05/04/2021;30,03;29,78;0,24;29,76;30,22;20,89M
SMTO3;01/04/2021;29,86;29,71;0,17;29,3;30,11;42,91M
SAPR11;30/04/2021;21,3;21,1;-1,59;21;21,53;84,75M
SAPR11;29/04/2021;21,11;21,44;1,71;20,99;21,5;33,64M
SAPR11;28/04/2021;20,95;21,08;1,1;20,78;21,14;24,43M
SAPR11;27/04/2021;21,45;20,85;-2,66;20,85;21,48;32,65M
SAPR11;26/04/2021;21,72;21,42;-0,93;21,31;21,82;25,24M
SAPR11;23/04/2021;21,6;21,62;0,89;21,24;21,7;33,64M
SAPR11;22/04/2021;21,93;21,43;-1,83;21,38;21,99;33,33M
SAPR11;20/04/2021;21,08;21,83;3,36;21,05;21,95;59,08M
SAPR11;19/04/2021;21,32;21,12;-0,85;21,03;21,5;41,77M
SAPR11;16/04/2021;20,64;21,3;2,55;20,64;21,33;69,46M
SAPR11;15/04/2021;21,15;20,77;0;20,77;21,3;80,88M
SAPR11;14/04/2021;21,09;20,77;-1,52;20,73;21,12;40,32M
SAPR11;13/04/2021;21,14;21,09;-0,33;20,98;21,14;7,11M
SAPR11;12/04/2021;21,26;21,16;-0,42;21,05;21,32;27,86M
SAPR11;09/04/2021;21,06;21,25;0,57;21,06;21,4;42,50M
SAPR11;08/04/2021;21,52;21,13;-1,26;20,97;21,52;54,41M
SAPR11;07/04/2021;21,65;21,4;-1,11;21,3;21,85;39,47M
SAPR11;06/04/2021;21,7;21,64;-0,14;21,61;21,88;28,50M
SAPR11;05/04/2021;22,21;21,67;-2,34;21,67;22,29;36,21M
SAPR11;01/04/2021;21,67;22,19;0,86;21,67;22,22;59,25M
TOTS3;30/04/2021;30,98;31,1;-0,32;30,79;31,5;133,55M
TOTS3;29/04/2021;30,97;31,2;0,81;30,75;31,52;120,24M
TOTS3;28/04/2021;30,87;30,95;0,91;30,35;31,09;97,95M
TOTS3;27/04/2021;31,28;30,67;-1,73;30,56;31,56;87,72M
TOTS3;26/04/2021;31,7;31,21;-0,64;31;31,81;100,31M
TOTS3;23/04/2021;31;31,41;1,75;30,81;31,74;88,96M
TOTS3;22/04/2021;31,22;30,87;-0,42;30,76;31,83;80,16M
TOTS3;20/04/2021;31,09;31;-0,58;30,94;31,61;73,84M
TOTS3;19/04/2021;31,04;31,18;0,39;30,85;31,9;130,95M
TOTS3;16/04/2021;31,63;31,06;-0,51;31,01;31,65;95,91M
TOTS3;15/04/2021;30,91;31,22;1,23;30,86;31,42;113,76M
TOTS3;14/04/2021;31,18;30,84;-1,62;30,49;31,7;128,37M
TOTS3;13/04/2021;31,36;31,35;0,48;31,13;31,61;28,28M
TOTS3;12/04/2021;30,52;31,2;2,36;30,46;31,46;101,19M
TOTS3;09/04/2021;30,74;30,48;-1,7;30,15;30,84;103,45M
TOTS3;08/04/2021;30,69;31,01;1,34;30,46;31,29;117,02M
TOTS3;07/04/2021;30,4;30,6;2,13;29,48;30,69;148,30M
TOTS3;06/04/2021;29,88;29,96;0,5;29,49;30,25;112,05M
TOTS3;05/04/2021;28,83;29,81;4,07;28,68;29,81;96,21M
TOTS3;01/04/2021;28,88;28,65;-0,69;28,43;29,93;138,92M
GGBR4;30/04/2021;33,96;33,22;-3,4;33,15;34,26;641,15M
GGBR4;29/04/2021;34,75;34,39;-0,81;33,71;35,01;370,47M
GGBR4;28/04/2021;34,48;34,67;0,7;34,13;34,82;429,89M
GGBR4;27/04/2021;34,3;34,43;0,38;33,9;34,64;385,85M
GGBR4;26/04/2021;33,74;34,3;2,33;33,51;34,37;339,65M
GGBR4;23/04/2021;33,97;33,52;0,66;32,91;34,33;394,52M
GGBR4;22/04/2021;32,66;33,3;3,19;32,36;33,7;500,90M
GGBR4;20/04/2021;32,63;32,27;-0,74;31,78;32,85;270,74M
GGBR4;19/04/2021;32,85;32,51;-0,06;32,21;33,08;364,24M
GGBR4;16/04/2021;32,72;32,53;-0,28;31,93;32,85;363,78M
GGBR4;15/04/2021;32,75;32,62;0,71;32,15;33,24;383,91M
GGBR4;14/04/2021;32,01;32,39;4,25;32,01;32,76;473,99M
GGBR4;13/04/2021;31,3;31,07;-0,48;30,96;31,4;59,31M
GGBR4;12/04/2021;31,28;31,22;0,32;30,87;31,48;272,81M
GGBR4;09/04/2021;30,5;31,12;1,01;30,41;31,38;339,81M
GGBR4;08/04/2021;30,8;30,81;0,33;30,53;31,18;427,85M
GGBR4;07/04/2021;30,13;30,71;1,89;30,08;30,94;560,22M
GGBR4;06/04/2021;29,74;30,14;2,38;29,43;30,24;552,84M
GGBR4;05/04/2021;29,8;29,44;0,2;29,32;30,16;779,25M
GGBR4;01/04/2021;30,52;29,38;-2,78;29,12;30,77;902,65M
ALPA4;30/04/2021;38,13;39,73;3,9;38,13;39,79;86,58M
ALPA4;29/04/2021;38,68;38,24;-0,73;38,24;38,73;32,09M
ALPA4;28/04/2021;38,9;38,52;-0,85;38,05;39;23,78M
ALPA4;27/04/2021;38,97;38,85;0,31;38,06;38,97;40,60M
ALPA4;26/04/2021;38,8;38,73;0,57;38,55;39,4;32,73M
ALPA4;23/04/2021;37,25;38,51;3,38;37,21;38,87;51,88M
ALPA4;22/04/2021;37,88;37,25;-0,93;37;38,42;33,94M
ALPA4;20/04/2021;38,06;37,6;-1,21;37,37;38,27;23,92M
ALPA4;19/04/2021;38,25;38,06;-0,24;37,83;39,4;64,88M
ALPA4;16/04/2021;38,31;38,15;0,21;37,67;38,55;40,91M
ALPA4;15/04/2021;37,83;38,07;1,14;37,73;38,37;35,64M
ALPA4;14/04/2021;38,29;37,64;-1,47;37,28;38,44;52,66M
ALPA4;13/04/2021;38;38,2;0,53;37,76;38,33;6,76M
ALPA4;12/04/2021;37,78;38;0,58;37,76;38,49;27,12M
ALPA4;09/04/2021;37,7;37,78;-0,18;37,16;37,87;36,62M
ALPA4;08/04/2021;37,51;37,85;1,31;37,33;38,22;49,96M
ALPA4;07/04/2021;37,06;37,36;0,43;36,34;37,72;55,59M
ALPA4;06/04/2021;36,79;37,2;1,28;36,56;37,5;38,00M
ALPA4;05/04/2021;36,31;36,73;1,89;36,11;36,95;29,81M
ALPA4;01/04/2021;36,89;36,05;-2,14;35,93;37,03;42,59M
RAPT4;30/04/2021;14,11;13,91;-1,77;13,8;14,18;39,35M
RAPT4;29/04/2021;14,29;14,16;-0,42;14,06;14,32;24,51M
RAPT4;28/04/2021;14,24;14,22;0,21;13,92;14,28;27,81M
RAPT4;27/04/2021;14,75;14,19;-3,4;14,05;14,79;25,97M
RAPT4;26/04/2021;14,62;14,69;1,66;14,33;14,71;22,20M
RAPT4;23/04/2021;14,46;14,45;0,35;14,31;14,67;18,19M
RAPT4;22/04/2021;14,84;14,4;-2,57;14,34;14,9;36,81M
RAPT4;20/04/2021;14,4;14,78;4,3;14,35;15,08;65,98M
RAPT4;19/04/2021;14,35;14,17;-0,41;14,09;14,37;33,27M
